Item_Fat_Content,Item_Identifier,Item_Type,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,Item_Visibility,Item_Weight,Total_Sales,Rating
Low Fat,DRM37,Soft Drinks,2018,OUT019,Tier 1,Small,Grocery Store,0.168780127,15.35,197,3.9
Low Fat,FDY48,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.041556697,14.0,104,3.9
Low Fat,FDT37,Canned,2018,OUT019,Tier 1,Small,Grocery Store,0.061753511,14.15,253,3.9
Low Fat,FDB05,Frozen Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.145669556,5.155,247,3.9
Low Fat,FDA19,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.0644236155,7.52,126,3.9
Low Fat,FDI32,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.305305397,17.7,116,3.9
Low Fat,DRH23,Hard Drinks,2018,OUT019,Tier 1,Small,Grocery Store,0.298205272,14.65,55,3.9
Low Fat,NCN53,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.053148497,5.175,36,3.9
Low Fat,NCP41,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.028382853,16.6,109,3.9
Low Fat,NCR53,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.253947823,12.15,223,3.9
Low Fat,NCD54,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.050790917,21.1,142,3.9
Low Fat,NCP42,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.028207784,8.51,195,3.9
Low Fat,NCR38,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.19875618,17.25,250,3.9
Low Fat,NCO55,Others,2018,OUT019,Tier 1,Small,Grocery Store,0.159394437,12.8,105,3.9
Regular,FDY35,Breads,2018,OUT019,Tier 1,Small,Grocery Store,0.028062401,17.6,44,3.9
Regular,FDC52,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,0.014497036,11.15,150,3.9
Regular,FDE40,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,0.173587926,15.6,60,3.9
Regular,FDF40,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,0.03941584,20.25,247,3.9
Regular,FDK20,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.072762086,12.6,120,3.9
Regular,FDR32,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.150238656,6.78,229,3.9
Regular,FDW46,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.123089128,13.0,63,3.9
Low Fat,FDD02,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.06164633666666666,16.6,118,3.9
Low Fat,FDJ32,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.057792343,10.695,61,3.9
Low Fat,NCG30,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.112321218,20.2,123,3.9
Low Fat,FDK45,Seafood,2016,OUT046,Tier 1,Small,Supermarket Type1,0.033858187,11.65,113,3.9
Low Fat,FDN60,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.095158081,15.1,159,3.9
Low Fat,FDG50,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.015271793,7.405,89,3.9
Low Fat,FDU13,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.187558629,8.355,148,3.9
Low Fat,FDP25,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.021207519,15.2,219,3.9
Low Fat,DRE15,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.021129629,13.35,77,3.9
Low Fat,FDC44,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.172596885,15.6,114,3.9
Low Fat,DRJ47,Hard Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.044250304,18.25,174,3.9
Low Fat,NCP05,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.025286583,19.6,151,3.9
Low Fat,NCY53,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.05848134,20.0,113,3.9
Low Fat,NCC43,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.092782895,7.39,252,3.9
Low Fat,NCE18,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.021425341,10.0,250,3.9
Low Fat,NCS18,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.042211119,12.65,108,3.9
Low Fat,FDS51,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.032180494,13.35,61,3.9
Low Fat,FDL46,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.054056927,20.35,116,3.9
Low Fat,DRD60,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.03723211,15.7,183,3.9
Regular,FDX36,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.128283243,9.695,226,3.9
Regular,FDU37,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.10446143224999999,9.5,79,3.9
Regular,FDM57,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.075849167,11.65,85,3.9
Regular,FDJ34,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.093655728,11.8,127,3.9
Low Fat,FDD46,Snack Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.141542481,6.035,153,3.9
Low Fat,DRF01,Soft Drinks,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.176070535,5.655,144,3.9
Low Fat,DRD27,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.028353114999999998,18.75,97,3.9
Low Fat,FDJ52,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.017822936,7.145,161,3.9
Low Fat,FDF16,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.086307051,7.3,146,3.9
Low Fat,FDC32,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.099309997,18.35,91,3.9
Low Fat,FDA44,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.053330653,19.7,56,3.9
Low Fat,NCK06,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.008664064,5.03,119,3.9
Low Fat,NCB31,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.118915034,6.235,264,3.9
Low Fat,NCB30,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.02575512,14.6,199,3.9
Low Fat,NCZ54,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.083528446,14.65,162,3.9
Low Fat,NCF54,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.047473135,18.0,170,3.9
Low Fat,FDN15,Meat,2015,OUT045,Tier 2,Small,Supermarket Type1,0.016767995,17.5,141,3.9
Low Fat,NCM26,Others,2015,OUT045,Tier 2,Small,Supermarket Type1,0.023190134,20.5,153,3.9
Low Fat,FDK46,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.051571772,9.6,258,3.9
Low Fat,FDK22,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.026139404,9.8,216,3.9
Low Fat,FDA21,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.036033639,13.65,183,3.9
Low Fat,FDW45,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.039090105,18.0,148,3.9
Low Fat,FDN45,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.118342285,19.35,222,3.9
Low Fat,DRD25,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.079132212,6.135,112,3.9
Low Fat,DRL60,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.027114238,8.52,151,3.9
Low Fat,DRJ25,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.150872868,14.6,47,3.9
Low Fat,DRH01,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.098102581,17.5,172,3.9
Low Fat,FDH12,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.085434195,9.6,105,3.9
Low Fat,FDR47,Breads,2020,OUT017,Tier 2,Small,Supermarket Type1,0.087963415,17.85,193,3.9
Low Fat,FDS37,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.032125561,7.655,115,3.9
Low Fat,FDB28,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.093913607,6.615,198,3.9
Low Fat,FDT02,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.024331586,12.6,34,3.9
Low Fat,FDO32,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.121225455,6.36,45,3.9
Low Fat,FDB21,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.149360698,7.475,243,3.9
Low Fat,NCS42,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.069809115,8.6,90,3.9
Low Fat,NCF30,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.126958147,17.0,125,3.9
Low Fat,NCP55,Others,2020,OUT017,Tier 2,High,Supermarket Type1,0.01125332,14.65,57,3.9
Low Fat,FDH33,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.12241394,12.85,42,3.9
Low Fat,FDF59,Starchy Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.071373179,12.5,127,3.9
Low Fat,FDF35,Starchy Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.154860353,15.0,106,3.9
Regular,FDX49,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.102038294,4.615,231,3.9
Regular,FDV37,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.083683243,13.0,198,3.9
Regular,FDZ02,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.03822479,6.905,99,3.9
Regular,FDN04,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.014115626,11.8,178,3.9
Regular,FDH28,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.110254143,15.85,37,3.9
Regular,FDB41,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.097510482,19.0,48,3.9
Regular,FDR32,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.085981978,6.78,228,3.9
Regular,FDW27,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,0.151159243,5.86,156,3.9
Regular,FDR34,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.015997687,17.0,229,3.9
Regular,FDE23,Starchy Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.053288857,17.6,47,3.9
Regular,FDM60,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.048233614,10.8,40,3.9
Regular,FDM36,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.059063036,11.65,172,3.9
Regular,FDA25,Canned,2020,OUT017,Tier 2,High,Supermarket Type1,0.068511103,16.5,103,3.9
Regular,FDQ40,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.03623131,11.1,175,3.9
Regular,FDN16,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.063054947,12.6,102,3.9
Regular,FDR28,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.026042966,13.85,161,3.9
Regular,FDU44,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.058756205,12.15,161,3.9
Regular,FDD56,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.104365283,15.2,177,3.9
Regular,FDS32,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.029821648,17.75,139,3.9
Regular,FDI08,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.066672058,18.2,248,3.9
Regular,FDJ21,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.03874616,16.7,143,3.9
Regular,FDX57,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.047533568,17.25,96,3.9
Regular,DRC36,Soft Drinks,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.045239326,13.0,174,3.9
Low Fat,FDN24,Baking Goods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.113908117,14.1,53,3.9
Low Fat,FDJ48,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.056424146,11.3,247,3.9
Low Fat,FDN48,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.064938448,13.35,90,3.9
Low Fat,FDW48,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.008539208,18.0,81,3.9
Low Fat,FDO37,Breakfast,2017,OUT035,Tier 2,Small,Supermarket Type1,0.021372636,8.06,231,3.9
Low Fat,FDS14,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.049954435,7.285,156,3.9
Low Fat,FDU14,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.034746076,17.75,248,3.9
Low Fat,FDX28,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.125154452,6.325,99,3.9
Low Fat,FDD45,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.116226984,8.615,95,3.9
Low Fat,FDU32,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.025962714,8.785,120,3.9
Low Fat,FDI32,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.174340475,17.7,116,3.9
Low Fat,NCZ05,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.058121214,8.485,104,3.9
Low Fat,NCN17,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.054928641,11.0,101,3.9
Low Fat,NCJ54,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.060055757,9.895,234,3.9
Low Fat,NCP54,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.035143024,15.35,124,3.9
Low Fat,NCR54,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.10767154425,16.35,198,3.9
Low Fat,NCE42,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.010600287,21.1,233,3.9
Low Fat,FDK27,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.008944844,11.0,122,3.9
Low Fat,FDM03,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.123007534,12.65,106,3.9
Low Fat,FDT03,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.009996872,21.25,185,3.9
Low Fat,NCO02,Others,2017,OUT035,Tier 2,Small,Supermarket Type1,0.073354286,11.15,66,3.9
Low Fat,DRG37,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.019374768,16.2,155,3.9
Low Fat,FDD35,Starchy Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02587742425,12.15,119,3.9
Low Fat,FDE59,Starchy Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06227604,12.15,37,3.9
Low Fat,FDI35,Starchy Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.041283361,14.0,182,3.9
Regular,FDV11,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,0.081652352,9.1,177,3.9
Regular,FDM02,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.073721115,12.5,85,3.9
Regular,FDQ01,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.160671255,19.7,254,3.9
Regular,FDA52,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.128397995,16.2,178,3.9
Regular,FDE17,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.054445198,20.1,151,3.9
Regular,FDN56,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.107036943,5.46,144,3.9
Regular,FDZ08,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.109971578,12.5,82,3.9
Regular,FDQ55,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.013035609,13.65,114,3.9
Regular,FDX32,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.099839365,15.1,143,3.9
Regular,FDZ31,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.113195815,15.35,190,3.9
Regular,FDY33,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.109436604,14.5,159,3.9
Low Fat,FDP57,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.052434201,17.5,103,3.9
Low Fat,DRF37,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.084316691,17.25,263,3.9
Low Fat,FDP38,Canned,2011,OUT010,Tier 3,Medium,Grocery Store,0.053732324,10.1,49,3.9
Low Fat,FDB27,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,0.092711708,7.575,197,3.9
Low Fat,FDQ04,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.141860161,6.4,41,3.9
Low Fat,FDD57,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.037492325,18.1,95,3.9
Low Fat,NCY41,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.126765903,16.75,35,3.9
Low Fat,NCK06,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.014472516,5.03,122,3.9
Low Fat,FDR09,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.130095044,18.25,257,3.9
Low Fat,DRJ01,Soft Drinks,2011,OUT010,Tier 3,High,Grocery Store,0.192540665,6.135,160,3.9
Low Fat,DRE49,Soft Drinks,2011,OUT010,Tier 3,High,Grocery Store,0.035568147,20.75,151,3.9
Regular,FDM51,Meat,2011,OUT010,Tier 3,High,Grocery Store,0.0259688346,11.8,102,3.9
Regular,FDX03,Meat,2011,OUT010,Tier 3,High,Grocery Store,0.102262138,15.85,47,3.9
Regular,FDN39,Meat,2011,OUT010,Tier 3,High,Grocery Store,0.109667698,19.35,166,3.9
Regular,FDZ21,Snack Foods,2011,OUT010,Tier 3,Small,Grocery Store,0.065649353,17.6,94,3.9
Low Fat,NCV29,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.022824491,11.8,177,3.9
Low Fat,FDX60,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.080527065,14.35,79,3.9
Low Fat,FDU13,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.2080291682857143,8.355,145,3.9
Low Fat,FDZ38,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.00799436,17.6,171,3.9
Low Fat,FDB17,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.036641589,13.15,180,3.9
Low Fat,FDI56,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.093307668,7.325,92,3.9
Low Fat,FDQ44,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.036110222,20.5,120,3.9
Low Fat,DRG11,Hard Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.083768522,6.385,109,3.9
Low Fat,NCZ05,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.058083831,8.485,103,3.9
Low Fat,NCK17,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.03786331,11.0,40,3.9
Low Fat,NCK53,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.037549969,11.6,101,3.9
Low Fat,NCP02,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.044771473,7.105,58,3.9
Low Fat,NCN18,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.124610886,8.895,113,3.9
Low Fat,FDJ45,Seafood,2014,OUT013,Tier 3,High,Supermarket Type1,0.073349552,17.75,34,3.9
Low Fat,FDD34,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.015863075,7.945,161,3.9
Low Fat,FDS57,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.103356186,15.5,142,3.9
Low Fat,DRD24,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.030769458,13.85,141,3.9
Regular,FDU24,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.16650264325,6.78,94,3.9
Regular,FDU12,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.075688032,15.5,262,3.9
Regular,FDM25,Breakfast,2014,OUT013,Tier 3,High,Supermarket Type1,0.060615254,10.695,174,3.9
Regular,FDY49,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.012002075,17.2,165,3.9
Regular,FDL02,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.10399676,20.0,107,3.9
Regular,FDE51,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.096387053,5.925,45,3.9
Regular,FDA04,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.066674465,11.3,259,3.9
Regular,FDE04,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.018008071,19.75,180,3.9
Regular,FDL32,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.16630633025000002,15.7,112,3.9
Regular,FDQ15,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,0.150947728,20.35,81,3.9
Low Fat,FDV25,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.045614252,5.905,221,3.9
Regular,FDQ48,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.034382602,14.3,96,3.9
Regular,FDO31,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.028958563,6.76,78,3.9
Low Fat,FDT48,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.046142232,4.92,199,3.9
Low Fat,FDF12,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.08276363,8.235,146,3.9
Low Fat,FDG52,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.065898197,13.65,46,3.9
Low Fat,FDI56,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.093765794,7.325,90,3.9
Low Fat,FDD45,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.116722514,8.615,95,3.9
Low Fat,DRG23,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.08674821216666667,8.88,154,3.9
Low Fat,DRI47,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.021005399,14.7,144,3.9
Low Fat,NCW54,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.096806008,7.5,56,3.9
Low Fat,NCE18,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.021512619,10.0,247,3.9
Low Fat,NCK54,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.029510977333333337,12.15,118,3.9
Low Fat,FDP27,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.119937231,8.155,189,3.9
Low Fat,FDQ58,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.015364173,7.315,154,3.9
Low Fat,DRK13,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.115636723,11.8,199,3.9
Low Fat,DRM37,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.096790497,15.35,197,3.9
Low Fat,FDC11,Starchy Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.142370445,20.5,90,3.9
Regular,FDY12,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.14118383,9.8,50,3.9
Regular,FDU12,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.076059648,15.5,265,3.9
Regular,FDE40,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.1178252405,15.6,62,3.9
Regular,FDB29,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.052625179,16.7,113,3.9
Regular,FDB41,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.097709541,19.0,48,3.9
Regular,FDR56,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.101176316,15.5,198,3.9
Regular,FDJ58,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.105725004,15.6,169,3.9
Regular,DRD01,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.061424738,12.1,56,3.9
Regular,FDA55,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.057221177,17.2,225,3.9
Low Fat,FDS48,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.027644732,15.15,149,3.9
Low Fat,FDG02,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.011206632,7.855,191,3.9
Low Fat,DRG03,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.061686402,14.5,153,3.9
Low Fat,DRK39,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.049623924,7.02,83,3.9
Low Fat,FDD39,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.06981517,16.7,214,3.9
Low Fat,FDB17,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.036494521,13.15,179,3.9
Low Fat,FDY07,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.12187957333333332,11.8,45,3.9
Low Fat,NCC19,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.096411426,6.57,192,3.9
Low Fat,NCE07,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.013066448,8.18,140,3.9
Low Fat,NCF19,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.034938717,13.0,49,3.9
Low Fat,NCG18,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.02286663,15.3,102,3.9
Low Fat,NCJ18,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.163148041,12.35,116,3.9
Low Fat,NCQ18,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.134418705,15.75,99,3.9
Low Fat,FDV15,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.145464606,10.3,105,3.9
Low Fat,FDN45,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.117530851,19.35,222,3.9
Low Fat,DRE49,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.023333338571428573,20.75,153,3.9
Regular,FDB36,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.048292189,5.465,133,3.9
Regular,FDY47,Breads,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.054220618,8.6,129,3.9
Regular,FDF28,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.037681359,15.7,125,3.9
Regular,FDF29,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.019837655,15.1,128,3.9
Regular,FDX07,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.022807826,19.2,183,3.9
Regular,FDY56,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.062109174,16.35,223,3.9
Regular,FDW51,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.094201477,6.155,213,3.9
Regular,FDG21,Seafood,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.145591438,17.35,148,3.9
Regular,FDJ34,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.093202196,11.8,125,3.9
Regular,DRA24,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.039734882,19.35,165,3.9
Low Fat,NCY41,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.075368868,16.75,35,3.9
